Symbol,ETF Name,ETFdb.com Category
XES,SPDR S&P Oil & Gas Equipment & Services ETF,Energy Equities
FRI,First Trust S&P REIT Index Fund,Real Estate
FCG,First Trust ISE-Revere Natural Gas Index Fund,Energy Equities
PPTY,PPTY - U.S. Diversified Real Estate ETF,Real Estate
XHS,SPDR S&P Health Care Services ETF,Health & Biotech Equities
RYE,Invesco S&P 500® Equal Weight Energy ETF,Energy Equities
URE,ProShares Ultra Real Estate,Leveraged Real Estate
BTEC,Principal Healthcare Innovators Index ETF,Health & Biotech Equities
DPST,Direxion Daily Regional Banks Bull 3X Shares,Leveraged Equities
USD,ProShares Ultra Semiconductors,Leveraged Equities
PUI,Invesco DWA Utilities Momentum ETF,Utilities Equities
LABD,Direxion Daily S&P Biotech Bear 3x Shares,Leveraged Equities
PKB,Invesco Dynamic Building & Construction ETF,Building & Construction 
NRGU,MicroSectors U.S. Big Oil Index 3X Leveraged ETN,Leveraged Equities
FXZ,First Trust Materials AlphaDEX Fund,Materials
QABA,First Trust NASDAQ ABA Community Bank Index,Financials Equities
KBWP,Invesco KBW Property & Casualty Insurance ETF,Financials Equities
FTXO,First Trust Nasdaq Bank ETF,Financials Equities
IAK,iShares U.S. Insurance ETF,Financials Equities
REML,Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETN,Leveraged Real Estate
DRN,Direxion Daily Real Estate Bull 3x Shares,Leveraged Real Estate
PRN,Invesco DWA Industrials Momentum ETF,All Cap Equities
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF,Real Estate
RCD,Invesco S&P 500® Equal Weight Consumer Discretionary ETF,Consumer Discretionary Equities
PXQ,Invesco Dynamic Networking ETF,Technology Equities
XTL,SPDR S&P Telecom ETF,Communications Equities
IETC,iShares Evolved U.S. Technology ETF,Technology Equities
NURE,Nuveen Short-Term REIT ETF,Real Estate
VMOT,Alpha Architect Value Momentum Trend ETF,Foreign Small & Mid Cap Equities
BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health & Biotech Equities
DRV,Direxion Daily Real Estate Bear 3x Shares,Leveraged Real Estate
IGN,iShares North American Tech-Multimedia Networking ETF,Communications Equities
NETL,NETLease Corporate Real Estate ETF,Real Estate
SRS,ProShares Ultra Short Real Estate,Leveraged Real Estate
JHMH,John Hancock Multi-Factor Health Care ETF,Health & Biotech Equities
ROOF,IQ US Real Estate Small Cap ETF,Real Estate
FTXL,First Trust Nasdaq Semiconductor ETF,Technology Equities
ZMLP,Direxion Zacks MLP High Income Shares,Energy Equities
CNCR,Loncar Cancer Immunotherapy ETF,Global Equities
TDV,ProShares S&P Technology Dividend Aristocrats ETF,Technology Equities
AIRR,First Trust RBA American Industrial Renaissance ETF,Building & Construction 
JHMT,John Hancock Multi-Factor Technology ETF,Technology Equities
VPC,Virtus Private Credit Strategy ETF,Small Cap Blend Equities
PSCI,Invesco S&P SmallCap Industrials ETF,Industrials Equities
TECS,Direxion Daily Technology Bear 3X Shares,Leveraged Equities
SKF,ProShares Ultra Short Financials,Leveraged Equities
PYZ,Invesco DWA Basic Materials Momentum ETF,Materials
JHMC,John Hancock Multi-Factor Consumer Discretionary ETF,Consumer Discretionary Equities
DRIP,Direxion Daily S&P Oil & Gas Exploration & Production Bear 2x Shares,Leveraged Equities
EVX,VanEck Vectors Environmental Services ETF,Industrials Equities
PXI,Invesco DWA Energy Momentum ETF,Energy Equities
RDOG,ALPS REIT Dividend Dogs ETF,Real Estate
KBWR,Invesco KBW Regional Banking ETF,Financials Equities
PSCF,Invesco S&P SmallCap Financials ETF,Financials Equities
PBS,Invesco Dynamic Media ETF,All Cap Equities
UYM,ProShares Ultra Basic Materials,Leveraged Equities
SEF,Short Financials ProShares,Inverse Equities
UTES,Reaves Utilities ETF,Utilities Equities
PFI,Invesco DWA Financial Momentum ETF,All Cap Equities
JHMU,John Hancock Multi-Factor Utilities ETF,Utilities Equities
REK,ProShares Short Real Estate,Real Estate
BBP,Virtus LifeSci Biotech Products ETF,Health & Biotech Equities
PSCU,Invesco S&P SmallCap Utilities ETF,Small Cap Value Equities
BMLP,Dorsey Wright MLP Index ETN,MLPs
RETL,Direxion Daily Retail Bull 3X Shares,Leveraged Equities
TPOR,Direxion Daily Transportation Bull 3X Shares,Leveraged Equities
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,Consumer Discretionary Equities
EWRE,Invesco S&P 500® Equal Weight Real Estate ETF,Real Estate
XWEB,SPDR S&P Internet ETF,All Cap Equities
UTSL,Direxion Daily Utilities Bull 3X Shares,Leveraged Equities
ERY,Direxion Daily Energy Bear 2X Shares,Leveraged Equities
JHMS,John Hancock Multifactor Consumer Staples ETF,Consumer Staples Equities
FITE,SPDR S&P Future Security ETF,All Cap Equities
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,Consumer Discretionary Equities
UCC,ProShares Ultra Consumer Services,Leveraged Equities
JHMA,John Hancock Multi-Factor Materials ETF,Materials
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,Leveraged Equities
NRGO,MicroSectors U.S. Big Oil Index 2X Leveraged ETN,Leveraged Equities
NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETN,Leveraged Equities
PXE,Invesco Dynamic Energy Exploration & Production ETF,Energy Equities
JHME,John Hancock Multi-Factor Energy ETF,Energy Equities
ZIG,Acquirers Fund,Global Equities
UXI,ProShares Ultra Industrials,Leveraged Equities
UPW,ProShares Ultra Utilities,Leveraged Equities
HOMZ,Hoya Capital Housing ETF,Real Estate
PSCE,Invesco S&P SmallCap Energy ETF,Energy Equities
IEHS,iShares Evolved U.S. Healthcare Staples ETF,Health & Biotech Equities
DUG,ProShares Ultra Short Oil & Gas,Leveraged Equities
WANT,Direxion Daily Consumer Discretionary Bull 3X Shares,Leveraged Equities
IEDI,iShares Evolved U.S. Discretionary Spending ETF,Consumer Discretionary Equities
DUSL,Direxion Daily Industrials Bull 3X Shares,Leveraged Equities
PSCM,Invesco S&P SmallCap Materials ETF,Materials
IFRA,iShares U.S. Infrastructure ETF,All Cap Equities
